date,  adjusted  
1/2/2025, 20.30 
1/3/2025, 20.37 
1/6/2025, 20.41 
1/7/2025, 20.30 
1/8/2025, 20.30 
1/10/2025, 20.11 
1/13/2025, 20.09 
1/14/2025, 20.12 
1/15/2025, 20.34 
1/16/2025, 20.37 
1/17/2025, 20.43 
1/21/2025, 20.57 
1/22/2025, 20.58 
1/23/2025, 20.60 
1/24/2025, 20.62 
1/27/2025, 20.58 
1/28/2025, 20.63 
1/29/2025, 20.59 
1/30/2025, 20.69 
1/31/2025, 20.63 
2/3/2025, 20.57 
2/4/2025, 20.67 
2/5/2025, 20.76 
2/6/2025, 20.78 
2/7/2025, 20.69 
2/10/2025, 20.75 
2/11/2025, 20.73 
2/12/2025, 20.66 
2/13/2025, 20.81 
2/14/2025, 20.84 
2/18/2025, 20.83 
2/19/2025, 20.82 
2/20/2025, 20.83 
2/21/2025, 20.76 
2/24/2025, 20.73 
2/25/2025, 20.78 
2/26/2025, 20.83 
2/27/2025, 20.69 
2/28/2025, 20.80 
3/3/2025, 20.72 
3/4/2025, 20.63 
3/5/2025, 20.70 
3/6/2025, 20.57 
3/7/2025, 20.61 
3/10/2025, 20.44 
3/11/2025, 20.37 
3/12/2025, 20.40 
3/13/2025, 20.33 
3/14/2025, 20.47 
3/17/2025, 20.57 
3/18/2025, 20.54 
3/19/2025, 20.62 
3/20/2025, 20.60 
3/21/2025, 20.57 
3/24/2025, 20.64 
3/25/2025, 20.65 
3/26/2025, 20.54 
3/27/2025, 20.54 
3/28/2025, 20.45 
3/31/2025, 20.47 
4/1/2025, 20.53 
4/2/2025, 20.57 
4/3/2025, 20.33 
4/4/2025, 19.89 
4/7/2025, 19.69 
4/8/2025, 19.55 
4/9/2025, 20.10 
4/10/2025, 19.87 
4/11/2025, 20.02 
4/14/2025, 20.16 
4/15/2025, 20.19 
4/16/2025, 20.11 
4/17/2025, 20.11 
4/21/2025, 19.98 
4/22/2025, 20.17 
4/23/2025, 20.28 
4/24/2025, 20.48 
4/25/2025, 20.54 
4/28/2025, 20.59 
4/29/2025, 20.65 
4/30/2025, 20.66 
5/1/2025, 20.65 
5/2/2025, 20.74 
5/5/2025, 20.70 
5/6/2025, 20.68 
5/7/2025, 20.68 
5/8/2025, 20.69 
5/9/2025, 20.71 
5/12/2025, 20.87 
5/13/2025, 20.91 
5/14/2025, 20.88 
5/15/2025, 20.98 
5/16/2025, 21.03 
5/19/2025, 21.06 
5/20/2025, 21.03 
5/21/2025, 20.86 
5/22/2025, 20.87 
5/23/2025, 20.87 
5/27/2025, 21.07 
5/28/2025, 21.00 
5/29/2025, 21.06 
5/30/2025, 21.08 
6/2/2025, 21.11 
6/3/2025, 21.13 
6/4/2025, 21.20 
6/5/2025, 21.15 
6/6/2025, 21.18 
6/9/2025, 21.21 
6/10/2025, 21.27 
6/11/2025, 21.28 
6/12/2025, 21.36 
6/13/2025, 21.21 
6/16/2025, 21.27 
6/17/2025, 21.22 
6/18/2025, 21.23 
6/20/2025, 21.19 
6/23/2025, 21.29 
6/24/2025, 21.29 
6/25/2025, 21.42 
6/26/2025, 21.54 
6/27/2025, 21.56 
6/30/2025, 21.48 
7/1/2025, 21.47 
7/2/2025, 21.50 
7/3/2025, 21.53 
7/7/2025, 21.42 
7/8/2025, 21.42 
